year,proportion,ngram
1949,0.0,legge di Zipf
1950,0.0,legge di Zipf
1951,0.0,legge di Zipf
1952,0.0,legge di Zipf
1953,0.0,legge di Zipf
1954,0.0,legge di Zipf
1955,0.0,legge di Zipf
1956,0.0,legge di Zipf
1957,0.0,legge di Zipf
1958,0.0,legge di Zipf
1959,0.0,legge di Zipf
1960,3.2819229556224627e-09,legge di Zipf
1961,2.3559575623721685e-08,legge di Zipf
1962,9.643059684094624e-09,legge di Zipf
1963,6.251013928704197e-09,legge di Zipf
1964,0.0,legge di Zipf
1965,0.0,legge di Zipf
1966,1.1419807321999542e-08,legge di Zipf
1967,1.50946721788614e-08,legge di Zipf
1968,1.2049925501855796e-09,legge di Zipf
1969,4.527065833315191e-09,legge di Zipf
1970,3.251311220253683e-09,legge di Zipf
1971,4.916378859576298e-09,legge di Zipf
1972,0.0,legge di Zipf
1973,2.0404641531968082e-08,legge di Zipf
1974,7.834558779507006e-09,legge di Zipf
1975,9.193547256813872e-09,legge di Zipf
1976,2.9373449450531552e-08,legge di Zipf
1977,6.254155948681728e-08,legge di Zipf
1978,1.482371447814046e-09,legge di Zipf
1979,0.0,legge di Zipf
1980,1.553086770300638e-09,legge di Zipf
1981,1.6308115968755033e-09,legge di Zipf
1982,1.0652207116379486e-08,legge di Zipf
1983,0.0,legge di Zipf
1984,1.2370765745117751e-08,legge di Zipf
1985,9.98095384119324e-09,legge di Zipf
1986,5.210354814266793e-09,legge di Zipf
1987,5.316019624501678e-09,legge di Zipf
1988,4.642062734205865e-09,legge di Zipf
1989,4.944484821578499e-09,legge di Zipf
1990,1.167519525502314e-09,legge di Zipf
1991,2.2909103503110373e-09,legge di Zipf
1992,2.201445958860404e-08,legge di Zipf
1993,1.432030316550481e-08,legge di Zipf
1994,9.143534818178978e-09,legge di Zipf
1995,1.9946234885992453e-08,legge di Zipf
1996,0.0,legge di Zipf
1997,5.969141181338955e-09,legge di Zipf
1998,9.650310772713055e-09,legge di Zipf
1999,2.657625008950504e-09,legge di Zipf
2000,8.538786344658433e-10,legge di Zipf
2001,4.291571098491431e-09,legge di Zipf
2002,1.4579803142567016e-08,legge di Zipf
2003,1.2029345519692924e-08,legge di Zipf
2004,9.038791937143742e-09,legge di Zipf
2005,1.7133736651686604e-09,legge di Zipf
2006,5.625210075521636e-09,legge di Zipf
2007,4.029713895903342e-09,legge di Zipf
2008,6.05294570021897e-09,legge di Zipf
2009,8.729249323380373e-09,legge di Zipf
2010,1.580543163015591e-08,legge di Zipf
2011,2.3975141871801497e-09,legge di Zipf
2012,7.50898099255437e-09,legge di Zipf
2013,2.2154162948595513e-09,legge di Zipf
2014,4.4392947096127955e-09,legge di Zipf
2015,9.543268397749216e-09,legge di Zipf
2016,5.689213100623647e-09,legge di Zipf
2017,1.9027115882863654e-08,legge di Zipf
2018,1.9364589931569753e-08,legge di Zipf
2019,2.8856603773164125e-09,legge di Zipf
