year,proportion,ngram
1978,5.6320801355980166e-09,ley de Zipf
1979,4.131097242066062e-09,ley de Zipf
1980,6.4509881880780995e-09,ley de Zipf
1981,2.4854931446327555e-09,ley de Zipf
1982,1.2319600894983296e-09,ley de Zipf
1983,7.39714423048099e-09,ley de Zipf
1984,3.6037421935475322e-09,ley de Zipf
1985,4.778383910775119e-09,ley de Zipf
1986,8.403925555455771e-09,ley de Zipf
1987,3.6924503454827118e-09,ley de Zipf
1988,1.0813256956510031e-08,ley de Zipf
1989,1.6974763816790528e-09,ley de Zipf
1990,0.0,ley de Zipf
1991,3.991766917010864e-09,ley de Zipf
1992,4.802790165570059e-09,ley de Zipf
1993,3.319445385230324e-09,ley de Zipf
1994,2.1254995541397648e-09,ley de Zipf
1995,3.790223690458561e-09,ley de Zipf
1996,2.014107547410049e-09,ley de Zipf
1997,1.024482543243721e-08,ley de Zipf
1998,6.73126576700156e-09,ley de Zipf
1999,2.5668396297362506e-09,ley de Zipf
2000,1.7470936697350226e-08,ley de Zipf
2001,3.13290726694504e-08,ley de Zipf
2002,2.1418442575082963e-09,ley de Zipf
2003,9.555900071234191e-09,ley de Zipf
2004,8.731897871427918e-09,ley de Zipf
2005,1.1022589951892314e-08,ley de Zipf
2006,2.3460520193197e-09,ley de Zipf
2007,3.091345623928987e-09,ley de Zipf
2008,3.1608379913450335e-08,ley de Zipf
2009,4.2150247736572055e-09,ley de Zipf
2010,1.1197844429489123e-08,ley de Zipf
2011,1.551021888701598e-08,ley de Zipf
2012,1.2567100249327723e-08,ley de Zipf
2013,2.5609923071101548e-08,ley de Zipf
2014,2.1505570657609496e-08,ley de Zipf
2015,2.032554125008801e-09,ley de Zipf
2016,1.6061374452647215e-08,ley de Zipf
2017,7.937923207634867e-09,ley de Zipf
2018,5.887502041446169e-09,ley de Zipf
2019,2.0501316200238762e-08,ley de Zipf
1800,0.0,Zipf 's law
1801,0.0,Zipf 's law
1802,0.0,Zipf 's law
1803,0.0,Zipf 's law
1804,0.0,Zipf 's law
1805,0.0,Zipf 's law
1806,0.0,Zipf 's law
1807,0.0,Zipf 's law
1808,0.0,Zipf 's law
1809,0.0,Zipf 's law
1810,0.0,Zipf 's law
1811,0.0,Zipf 's law
