year,proportion,ngram
1996,4.078440649002261e-06,mòbil
1997,9.715906882748436e-06,mòbil
1998,3.6181544517772374e-06,mòbil
1999,5.235835102609279e-06,mòbil
2000,2.3374881513531637e-05,mòbil
2001,8.325209946658109e-06,mòbil
2002,4.8020283767863544e-06,mòbil
2003,2.805277287633496e-05,mòbil
2004,2.048925051960739e-05,mòbil
2005,9.2678718270177e-06,mòbil
2006,1.7186796415521738e-05,mòbil
2007,9.371588156186888e-06,mòbil
2008,2.9852561515625604e-05,mòbil
2009,1.642856975218676e-05,mòbil
2010,4.1557930482911636e-05,mòbil
2011,2.9427560381675458e-05,mòbil
2012,3.962596950733322e-05,mòbil
2013,2.1571430797052383e-05,mòbil
1902,2.852383451612167e-06,automòbil
1906,1.2114237257336685e-05,automòbil
1907,2.8131373514311837e-06,automòbil
1908,7.426698485943735e-06,automòbil
1909,9.731633973782978e-06,automòbil
1910,1.5957043638525092e-05,automòbil
1912,8.081493783310907e-06,automòbil
1913,3.0043563166591557e-05,automòbil
1914,1.1129743125528662e-05,automòbil
1915,7.090723442877132e-06,automòbil
1916,7.61591421434229e-06,automòbil
1917,5.170479320667957e-06,automòbil
1918,2.0234287759394085e-05,automòbil
1919,1.6759963798478194e-05,automòbil
1920,2.550955332772123e-05,automòbil
1921,2.3830063054346843e-05,automòbil
1922,3.052202842618247e-05,automòbil
1923,2.285059670524863e-05,automòbil
1924,7.019914620288431e-05,automòbil
1925,3.719578768644389e-05,automòbil
1926,5.233034502144049e-05,automòbil
1927,1.0216323349552962e-05,automòbil
1928,2.503160239802751e-05,automòbil
1929,1.667104281540571e-05,automòbil
1930,1.712758912055539e-05,automòbil
1931,5.5497745404092956e-05,automòbil
1932,2.9694314845256986e-05,automòbil
1933,4.487303175664457e-06,automòbil
1934,1.0297830418761273e-05,automòbil
1935,3.8723270977477865e-05,automòbil
1936,4.652649380388476e-05,automòbil
1937,3.876922869462322e-05,automòbil
1938,2.8433701139054066e-05,automòbil
1939,1.4136773281498497e-05,automòbil
1940,5.14030167859407e-05,automòbil
1941,0.0001686056314280897,automòbil
1942,7.140256049581938e-06,automòbil
1944,7.281597582509602e-05,automòbil
1945,2.9681223657914003e-05,automòbil
1946,5.7320879416932015e-06,automòbil
1947,9.330969487729775e-06,automòbil
1948,1.2455715482988162e-05,automòbil
1949,1.8676054496727022e-05,automòbil
1950,1.7206175870058958e-05,automòbil
1951,2.489302912207818e-05,automòbil
1952,3.5416408422021925e-05,automòbil
1953,5.674483267367465e-06,automòbil
1954,1.5985968886737127e-05,automòbil
1955,6.209396369055473e-06,automòbil
1956,3.6973907513467744e-06,automòbil
1957,4.465738218425636e-05,automòbil
1958,3.015668552177528e-05,automòbil
1959,1.7196165255148103e-05,automòbil
1960,0.00010552382024368967,automòbil
1961,1.4960777827462337e-05,automòbil
1962,2.8937920443869114e-05,automòbil
1963,2.4353284987552764e-05,automòbil
1964,7.786130565623456e-06,automòbil
1965,1.7825216620944987e-05,automòbil
1966,3.117520947342673e-05,automòbil
1967,1.2294452128477025e-05,automòbil
1968,1.9882252880165244e-05,automòbil
1969,1.7353250658240347e-05,automòbil
1970,4.855215943315354e-05,automòbil
1971,6.568575932737782e-05,automòbil
1972,1.001768837547441e-05,automòbil
1973,7.958154576300615e-05,automòbil
1974,6.1010124291180985e-05,automòbil
1975,1.3428071575458089e-05,automòbil
1976,4.858157473256627e-05,automòbil
1977,4.77305325056859e-06,automòbil
1978,3.2498131357446946e-05,automòbil
1979,2.3782029769816376e-05,automòbil
1980,1.079496846519837e-05,automòbil
1981,1.6861355098934e-05,automòbil
1982,3.503397594987619e-05,automòbil
1983,1.5423351725680266e-05,automòbil
1984,4.3086773094052006e-05,automòbil
1985,1.676662152576256e-05,automòbil
1986,1.4506028290899747e-05,automòbil
1987,7.466712462503103e-06,automòbil
1988,0.00010224919833788247,automòbil
1989,1.8074194568704532e-05,automòbil
1990,3.116021961722786e-05,automòbil
1991,1.344870529314143e-05,automòbil
1992,1.744994142889225e-05,automòbil
1993,1.1692829372387383e-05,automòbil
1994,1.4289989941434858e-05,automòbil
1995,2.125624402168137e-05,automòbil
1996,3.4666745516519215e-05,automòbil
1997,1.9431813765496873e-05,automòbil
1998,1.5678669291034694e-05,automòbil
1999,6.981113470145705e-06,automòbil
2000,1.773266873440331e-05,automòbil
2001,1.210939628604816e-05,automòbil
2002,6.402704502381806e-06,automòbil
2003,9.818470506717236e-06,automòbil
2004,7.376130187058662e-05,automòbil
2005,1.7693209851579244e-05,automòbil
2006,1.3749437132417391e-05,automòbil
2008,1.658475639756978e-05,automòbil
2009,1.17346926801334e-05,automòbil
2010,1.2721815453952541e-05,automòbil
2011,1.0626619026716137e-05,automòbil
2012,3.865948244617876e-06,automòbil
2013,2.7563494907344713e-05,automòbil
